Name;Beginn;Ende;Ressourcen;Personen
Technische Mechanik I (T2WIW1101);15.02.2017 09:00;15.02.2017 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Labor Technische Mechanik;15.02.2017 13:15;15.02.2017 17:15;Vorlesungsraum 0.24, Schloss 10, S02, MGH-TWIW16ITVB/IPM;Susam, Herr
Technische Mechanik I (T2WIW1101);16.02.2017 13:15;16.02.2017 14:45;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Informationsveranstaltung zum Auslandssemester (16ITV/IPM);16.02.2017 17:00;16.02.2017 19:00;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Möhringer, Herr Prof.
Werkstoffkunde (T2WIW1100);17.02.2017 09:00;17.02.2017 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Volkswirtschaftslehre (T2WIW1002);17.02.2017 13:15;17.02.2017 17:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Dombrowski, Herr
Labor Werkstoffkunde in MOSBACH;20.02.2017 09:00;20.02.2017 16:30;MGH-TWIW16ITVB/IPM;
Studium flexibel;21.02.2017 08:00;21.02.2017 17:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Informationstechnik I (T2WIW1003);22.02.2017 09:00;22.02.2017 12:15;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Informationstechnik I (T2WIW1003);22.02.2017 13:15;22.02.2017 16:30;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Studium flexibel;23.02.2017 08:00;23.02.2017 17:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Klausur Mathematik I;24.02.2017 14:15;24.02.2017 16:30;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;
Klausur Volkswirtschaftslehre;27.02.2017 09:00;27.02.2017 11:15;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;
Studium flexibel;28.02.2017 08:00;28.02.2017 17:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Klausur Werkstoffkunde;01.03.2017 09:00;01.03.2017 11:15;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;
Studium flexibel;02.03.2017 08:00;02.03.2017 17:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Klausur Technische Mechanik I;03.03.2017 09:00;03.03.2017 11:15;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;
